,level_0,driverId,dstnd_points,results_laps,wins,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19,res_20,res_21,res_22,res_23,res_24,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,grid_16,grid_17,grid_18,grid_19,grid_20,grid_21,grid_22,grid_23,grid_24,races
12,12,14,382.0,6533.0,9.0,3.0,7.0,7.0,6.0,8.0,8.0,13.0,6.0,9.0,6.0,7.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,2.0,3.0,5.0,3.0,7.0,9.0,6.0,8.0,6.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,12,19.0,1213.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,15,239.5,9101.0,1.0,1.0,3.0,6.0,12.0,10.0,10.0,10.0,8.0,10.0,7.0,6.0,5.0,13.0,4.0,6.0,4.0,7.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,5.0,11.0,8.0,6.0,8.0,12.0,13.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,5.0,10.0,7.0,2.0,0.0,0.0,0.0,0.0
15,15,16,124.0,6009.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,5.0,8.0,5.0,8.0,2.0,13.0,6.0,5.0,8.0,10.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,9.0,1.0,10.0,8.0,5.0,5.0,4.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0
16,16,17,1047.5,10180.0,9.0,9.0,16.0,17.0,17.0,9.0,14.0,16.0,11.0,13.0,8.0,6.0,7.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,20.0,16.0,12.0,8.0,8.0,11.0,4.0,10.0,5.0,8.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,18,1235.0,14006.0,15.0,15.0,15.0,20.0,22.0,21.0,17.0,9.0,18.0,13.0,12.0,11.0,12.0,5.0,9.0,3.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,13.0,21.0,16.0,14.0,8.0,13.0,10.0,13.0,6.0,17.0,6.0,8.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,19,0.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,20,3090.0,16332.0,53.0,53.0,36.0,33.0,34.0,21.0,13.0,6.0,10.0,4.0,9.0,7.0,9.0,8.0,3.0,4.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,56.0,44.0,41.0,20.0,8.0,12.0,0.0,4.0,10.0,9.0,11.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,21,254.0,7760.0,3.0,3.0,2.0,6.0,11.0,9.0,14.0,7.0,8.0,12.0,6.0,8.0,9.0,4.0,6.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,5.0,8.0,5.0,3.0,4.0,6.0,3.0,7.0,5.0,2.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,22,598.0,9955.0,11.0,6.0,16.0,15.0,9.0,9.0,9.0,9.0,5.0,8.0,15.0,7.0,12.0,8.0,6.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,8.0,9.0,12.0,9.0,8.0,8.0,6.0,3.0,4.0,7.0,6.0,4.0,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
