,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
331880,836,962.0,15.0,15.0,2016.0,2016-09-18,Singapore Grand Prix,20,19.0,16,16,16.0,0,60.0,11.0,+1 Lap,40,20,,01:52.0,162.773,1,17,0.0,1994,German
331965,836,963.0,16.0,2.0,2016.0,2016-10-02,Malaysian Grand Prix,21,21.0,15,15,15.0,0,55.0,11.0,+1 Lap,55,13,,01:39.7,200.242,1,18,0.0,1994,German
332029,836,964.0,17.0,22.0,2016.0,2016-10-09,Japanese Grand Prix,22,21.0,22,22,22.0,0,52.0,11.0,+1 Lap,39,17,,01:38.0,213.318,1,18,0.0,1994,German
332109,21,33.0,16.0,16.0,2008.0,2008-10-12,Japanese Grand Prix,20,20.0,,R,16.0,0,21.0,6.0,Mechanical,20,19,,01:21.6,201.365,0,19,0.0,1973,Italian
332117,21,34.0,17.0,17.0,2008.0,2008-10-19,Chinese Grand Prix,20,20.0,17,17,17.0,0,55.0,11.0,+1 Lap,54,18,,01:38.4,199.483,0,19,0.0,1973,Italian
332172,836,965.0,18.0,69.0,2016.0,2016-10-23,United States Grand Prix,20,20.0,17,17,17.0,0,55.0,11.0,+1 Lap,36,21,,01:45.5,188.208,1,18,0.0,1994,German
332253,836,967.0,20.0,18.0,2016.0,2016-11-13,Brazilian Grand Prix,19,19.0,15,15,15.0,0,71.0,1.0,Finished,69,18,10921833,01:27.9,176.439,1,19,0.0,1994,German
332260,21,35.0,18.0,18.0,2008.0,2008-11-02,Brazilian Grand Prix,19,19.0,18,18,18.0,0,69.0,12.0,>+1 Laps,36,15,,01:15.2,206.249,0,19,0.0,1973,Italian
332351,836,968.0,21.0,24.0,2016.0,2016-11-27,Abu Dhabi Grand Prix,16,16.0,14,14,14.0,0,54.0,11.0,+1 Lap,26,14,,01:46.1,188.368,1,19,0.0,1994,German
332357,836,971.0,3.0,3.0,2017.0,2017-04-16,Bahrain Grand Prix,13,13.0,11,11,11.0,0,56.0,11.0,+1 Lap,43,17,,01:36.8,201.301,0,15,0.0,1994,German
