,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
0,1,2.0,2.0,2.0,2009.0,2009-04-05,Malaysian Grand Prix,13,12.0,7,7,7.0,1,31.0,1.0,Finished,17,11,4312825,01:39.1,201.276,1,10,0.0,1985,British
1,1,13.0,13.0,14.0,2009.0,2009-09-13,Italian Grand Prix,1,1.0,12,12,12.0,0,52.0,3.0,Accident,52,3,,01:24.8,245.923,27,7,1.0,1985,British
51,1,14.0,14.0,15.0,2009.0,2009-09-27,Singapore Grand Prix,1,1.0,1,1,1.0,10,61.0,1.0,Finished,36,2,6966337,01:48.3,168.561,37,6,2.0,1985,British
112,1,17.0,17.0,24.0,2009.0,2009-11-01,Abu Dhabi Grand Prix,1,1.0,,R,19.0,0,20.0,23.0,Mechanical,16,3,,01:40.4,199.212,49,5,2.0,1985,British
129,1,337.0,1.0,3.0,2010.0,2010-03-14,Bahrain Grand Prix,4,4.0,3,3,3.0,15,49.0,1.0,Finished,42,4,5983578,01:59.6,189.665,15,3,0.0,1985,British
171,1,347.0,11.0,10.0,2010.0,2010-07-25,German Grand Prix,6,6.0,4,4,4.0,12,67.0,1.0,Finished,65,5,5285760,01:16.5,215.238,157,1,2.0,1985,British
238,1,355.0,19.0,24.0,2010.0,2010-11-14,Abu Dhabi Grand Prix,2,2.0,2,2,2.0,18,55.0,1.0,Finished,47,1,5986999,01:41.3,197.428,240,4,3.0,1985,British
279,1,876.0,17.0,68.0,2012.0,2012-10-28,Indian Grand Prix,3,3.0,4,4,4.0,12,60.0,1.0,Finished,58,5,5484653,01:28.9,207.433,165,5,3.0,1985,British
339,1,878.0,19.0,69.0,2012.0,2012-11-18,United States Grand Prix,2,2.0,1,1,1.0,25,56.0,1.0,Finished,55,5,5755269,01:39.7,199.047,190,4,4.0,1985,British
410,1,3.0,3.0,17.0,2009.0,2009-04-19,Chinese Grand Prix,9,9.0,6,6,6.0,3,56.0,1.0,Finished,39,12,7135351,01:54.7,171.138,4,10,0.0,1985,British
466,1,4.0,4.0,3.0,2009.0,2009-04-26,Bahrain Grand Prix,5,5.0,4,4,4.0,5,57.0,1.0,Finished,13,6,5530278,01:34.9,205.269,9,7,0.0,1985,British
515,1,880.0,1.0,1.0,2013.0,2013-03-17,Australian Grand Prix,3,3.0,5,5,5.0,10,58.0,1.0,Finished,45,5,5448786,01:29.8,212.689,10,5,0.0,1985,British
573,1,881.0,2.0,2.0,2013.0,2013-03-24,Malaysian Grand Prix,4,4.0,3,3,3.0,15,56.0,1.0,Finished,32,10,5948862,01:41.0,197.57,25,4,0.0,1985,British
587,1,882.0,3.0,17.0,2013.0,2013-04-14,Chinese Grand Prix,1,1.0,3,3,3.0,15,56.0,1.0,Finished,50,6,5799267,01:40.0,196.273,40,4,0.0,1985,British
643,1,883.0,4.0,3.0,2013.0,2013-04-21,Bahrain Grand Prix,4,9.0,5,5,5.0,10,57.0,1.0,Finished,48,11,5795728,01:38.2,198.395,50,3,0.0,1985,British
700,1,884.0,5.0,4.0,2013.0,2013-05-12,Spanish Grand Prix,2,2.0,12,12,12.0,0,65.0,11.0,+1 Lap,53,13,,01:27.9,190.659,50,4,0.0,1985,British
765,1,885.0,6.0,6.0,2013.0,2013-05-26,Monaco Grand Prix,2,2.0,4,4,4.0,12,78.0,1.0,Finished,76,3,8285950,01:18.1,153.891,62,4,0.0,1985,British
843,1,887.0,8.0,9.0,2013.0,2013-06-30,British Grand Prix,1,1.0,4,4,4.0,12,52.0,1.0,Finished,51,4,5587212,01:34.2,225.231,89,4,0.0,1985,British
909,1,5.0,5.0,4.0,2009.0,2009-05-10,Spanish Grand Prix,14,14.0,9,9,9.0,0,65.0,11.0,+1 Lap,29,9,,01:23.8,199.883,9,7,0.0,1985,British
974,1,6.0,6.0,6.0,2009.0,2009-05-24,Monaco Grand Prix,16,19.0,12,12,12.0,0,77.0,11.0,+1 Lap,65,8,,01:15.7,158.824,9,9,0.0,1985,British
1030,1,888.0,9.0,20.0,2013.0,2013-07-07,German Grand Prix,1,1.0,5,5,5.0,10,60.0,1.0,Finished,57,4,6101638,01:34.2,196.83,99,4,0.0,1985,British
1055,1,890.0,10.0,11.0,2013.0,2013-07-28,Hungarian Grand Prix,1,1.0,1,1,1.0,25,70.0,1.0,Finished,69,3,6149445,01:24.6,186.322,124,4,1.0,1985,British
1125,1,891.0,11.0,13.0,2013.0,2013-08-25,Belgian Grand Prix,1,1.0,3,3,3.0,15,44.0,1.0,Finished,39,7,5049930,01:51.6,225.943,139,3,1.0,1985,British
1145,1,892.0,12.0,14.0,2013.0,2013-09-08,Italian Grand Prix,12,12.0,9,9,9.0,2,53.0,1.0,Finished,51,1,4746879,01:25.8,242.924,141,3,1.0,1985,British
1198,1,893.0,13.0,15.0,2013.0,2013-09-22,Singapore Grand Prix,5,5.0,5,5,5.0,10,61.0,1.0,Finished,59,4,7206291,01:49.9,165.89,151,3,1.0,1985,British
1232,1,894.0,14.0,35.0,2013.0,2013-10-06,Korean Grand Prix,2,2.0,5,5,5.0,10,55.0,1.0,Finished,53,5,6218956,01:42.5,197.134,161,4,1.0,1985,British
1260,1,895.0,15.0,22.0,2013.0,2013-10-13,Japanese Grand Prix,3,3.0,,R,20.0,0,7.0,29.0,Mechanical,3,20,,01:41.2,206.569,161,4,1.0,1985,British
1267,1,896.0,16.0,68.0,2013.0,2013-10-27,Indian Grand Prix,3,3.0,6,6,6.0,8,60.0,1.0,Finished,53,15,5524662,01:29.1,207.182,169,4,1.0,1985,British
1327,1,897.0,17.0,24.0,2013.0,2013-11-03,Abu Dhabi Grand Prix,4,4.0,7,7,7.0,6,55.0,1.0,Finished,47,10,5965373,01:45.5,189.586,175,4,1.0,1985,British
1367,1,899.0,19.0,18.0,2013.0,2013-11-24,Brazilian Grand Prix,5,5.0,9,9,9.0,2,71.0,1.0,Finished,51,10,5629203,01:16.7,202.268,189,4,1.0,1985,British
1429,1,900.0,1.0,1.0,2014.0,2014-03-16,Australian Grand Prix,1,1.0,,R,19.0,0,2.0,5.0,Mechanical,2,20,,01:49.9,173.636,0,19,0.0,1985,British
1431,1,901.0,2.0,2.0,2014.0,2014-03-30,Malaysian Grand Prix,1,1.0,1,1,1.0,25,56.0,1.0,Finished,53,1,6025974,01:43.1,193.611,25,2,1.0,1985,British
1487,1,902.0,3.0,3.0,2014.0,2014-04-06,Bahrain Grand Prix,2,2.0,1,1,1.0,25,57.0,1.0,Finished,49,2,5982743,01:37.1,200.634,50,2,2.0,1985,British
1527,1,7.0,7.0,5.0,2009.0,2009-06-07,Turkish Grand Prix,16,16.0,13,13,13.0,0,58.0,1.0,Finished,53,15,5265302,01:28.6,216.986,9,11,0.0,1985,British
1585,1,8.0,8.0,9.0,2009.0,2009-06-21,British Grand Prix,19,18.0,16,16,16.0,0,59.0,11.0,+1 Lap,24,18,,01:22.6,224.128,9,11,0.0,1985,British
1644,1,9.0,9.0,20.0,2009.0,2009-07-12,German Grand Prix,5,5.0,18,18,18.0,0,59.0,11.0,+1 Lap,46,15,,01:35.4,194.331,9,11,0.0,1985,British
1703,1,10.0,10.0,11.0,2009.0,2009-07-26,Hungarian Grand Prix,4,4.0,1,1,1.0,10,70.0,1.0,Finished,16,4,5903876,01:22.5,191.219,19,8,1.0,1985,British
1773,1,19.0,2.0,2.0,2008.0,2008-03-23,Malaysian Grand Prix,4,9.0,5,5,5.0,4,56.0,1.0,Finished,53,3,5525103,01:35.5,209.033,14,1,1.0,1985,British
1829,1,20.0,3.0,3.0,2008.0,2008-04-06,Bahrain Grand Prix,3,3.0,13,13,13.0,0,56.0,11.0,+1 Lap,25,19,,01:35.5,203.969,14,3,1.0,1985,British
1885,1,21.0,4.0,4.0,2008.0,2008-04-27,Spanish Grand Prix,5,5.0,3,3,3.0,6,66.0,1.0,Finished,20,3,5903238,01:22.0,204.323,20,2,1.0,1985,British
1951,1,22.0,5.0,5.0,2008.0,2008-05-11,Turkish Grand Prix,3,3.0,2,2,2.0,8,58.0,1.0,Finished,31,2,5213230,01:26.5,222.085,28,3,1.0,1985,British
2009,1,23.0,6.0,6.0,2008.0,2008-05-25,Monaco Grand Prix,3,3.0,1,1,1.0,10,76.0,1.0,Finished,71,6,7242742,01:18.5,153.152,38,1,2.0,1985,British
2085,1,24.0,7.0,7.0,2008.0,2008-06-08,Canadian Grand Prix,1,1.0,,R,19.0,0,19.0,4.0,Accident,4,3,,01:17.5,202.559,38,2,2.0,1985,British
2104,1,25.0,8.0,8.0,2008.0,2008-06-22,French Grand Prix,3,13.0,10,10,10.0,0,70.0,1.0,Finished,40,5,5564783,01:17.5,205.022,38,4,2.0,1985,British
2174,1,26.0,9.0,9.0,2008.0,2008-07-06,British Grand Prix,4,4.0,1,1,1.0,10,60.0,1.0,Finished,16,3,5949440,01:32.8,199.398,48,1,3.0,1985,British
2248,1,903.0,4.0,17.0,2014.0,2014-04-20,Chinese Grand Prix,1,1.0,1,1,1.0,25,54.0,1.0,Finished,42,2,5608338,01:41.2,193.916,75,2,3.0,1985,British
2304,1,904.0,5.0,4.0,2014.0,2014-05-11,Spanish Grand Prix,1,1.0,1,1,1.0,25,66.0,1.0,Finished,54,3,6065155,01:29.5,187.275,100,1,4.0,1985,British
2370,1,905.0,6.0,6.0,2014.0,2014-05-25,Monaco Grand Prix,2,2.0,2,2,2.0,18,78.0,1.0,Finished,34,3,6576871,01:19.4,151.51,118,2,4.0,1985,British
2448,1,906.0,7.0,7.0,2014.0,2014-06-08,Canadian Grand Prix,2,2.0,,R,17.0,0,46.0,23.0,Mechanical,24,9,,01:18.9,198.875,118,2,4.0,1985,British
2485,1,907.0,8.0,70.0,2014.0,2014-06-22,Austrian Grand Prix,9,9.0,2,2,2.0,18,71.0,1.0,Finished,41,2,5276908,01:12.2,215.65,136,2,4.0,1985,British
2531,1,908.0,9.0,9.0,2014.0,2014-07-06,British Grand Prix,6,6.0,1,1,1.0,25,52.0,1.0,Finished,26,1,8812094,01:37.2,218.239,161,2,5.0,1985,British
2583,1,909.0,10.0,10.0,2014.0,2014-07-20,German Grand Prix,16,20.0,3,3,3.0,15,67.0,1.0,Finished,53,1,5645444,01:19.9,206.066,176,2,5.0,1985,British
2623,1,27.0,10.0,10.0,2008.0,2008-07-20,German Grand Prix,1,1.0,1,1,1.0,10,67.0,1.0,Finished,17,2,5480874,01:16.0,216.552,58,1,4.0,1985,British
2690,1,28.0,11.0,11.0,2008.0,2008-08-03,Hungarian Grand Prix,1,1.0,5,5,5.0,4,70.0,1.0,Finished,15,3,5870115,01:21.5,193.533,62,1,4.0,1985,British
2760,1,29.0,12.0,12.0,2008.0,2008-08-24,European Grand Prix,2,2.0,2,2,2.0,8,57.0,1.0,Finished,16,2,5737950,01:38.9,197.285,70,1,4.0,1985,British
2817,1,30.0,13.0,13.0,2008.0,2008-09-07,Belgian Grand Prix,1,1.0,3,3,3.0,6,44.0,1.0,Finished,20,2,4989933,01:48.1,233.175,76,1,4.0,1985,British
2861,1,31.0,14.0,14.0,2008.0,2008-09-14,Italian Grand Prix,15,15.0,7,7,7.0,2,53.0,1.0,Finished,52,5,5237406,01:29.7,232.44,78,1,4.0,1985,British
2914,1,32.0,15.0,15.0,2008.0,2008-09-28,Singapore Grand Prix,2,2.0,3,3,3.0,6,61.0,1.0,Finished,14,4,7042221,01:46.1,171.969,84,1,4.0,1985,British
2975,1,33.0,16.0,16.0,2008.0,2008-10-12,Japanese Grand Prix,1,1.0,12,12,12.0,0,67.0,1.0,Finished,65,11,5500792,01:19.6,206.47,84,1,4.0,1985,British
2998,1,910.0,11.0,11.0,2014.0,2014-07-27,Hungarian Grand Prix,21,22.0,3,3,3.0,15,70.0,1.0,Finished,36,4,6790915,01:27.4,180.494,191,2,5.0,1985,British
3026,1,911.0,12.0,13.0,2014.0,2014-08-24,Belgian Grand Prix,2,2.0,,R,19.0,0,38.0,31.0,Mechanical,33,10,,01:53.7,221.748,191,2,5.0,1985,British
3064,1,912.0,13.0,14.0,2014.0,2014-09-07,Italian Grand Prix,1,1.0,1,1,1.0,25,53.0,1.0,Finished,29,1,4750236,01:28.0,236.975,216,2,6.0,1985,British
3117,1,913.0,14.0,15.0,2014.0,2014-09-21,Singapore Grand Prix,1,1.0,1,1,1.0,25,60.0,1.0,Finished,39,1,7204795,01:50.4,165.137,241,1,7.0,1985,British
3175,1,914.0,15.0,22.0,2014.0,2014-10-05,Japanese Grand Prix,2,2.0,1,1,1.0,25,44.0,1.0,Finished,39,1,6703021,01:51.6,187.322,266,1,8.0,1985,British
3219,1,915.0,16.0,71.0,2014.0,2014-10-12,Russian Grand Prix,1,1.0,1,1,1.0,25,53.0,1.0,Finished,48,3,5510744,01:41.6,207.2,291,1,9.0,1985,British
3272,1,916.0,17.0,69.0,2014.0,2014-11-02,United States Grand Prix,2,2.0,1,1,1.0,25,56.0,1.0,Finished,49,4,6004785,01:41.9,194.712,316,1,10.0,1985,British
3328,1,917.0,18.0,18.0,2014.0,2014-11-09,Brazilian Grand Prix,2,2.0,2,2,2.0,18,71.0,1.0,Finished,62,1,5404012,01:13.6,210.895,334,1,10.0,1985,British
3361,1,918.0,19.0,24.0,2014.0,2014-11-23,Abu Dhabi Grand Prix,2,2.0,1,1,1.0,50,55.0,1.0,Finished,49,4,5942619,01:45.6,189.342,384,1,11.0,1985,British
3423,1,34.0,17.0,17.0,2008.0,2008-10-19,Chinese Grand Prix,1,1.0,1,1,1.0,10,56.0,1.0,Finished,13,1,5517403,01:36.3,203.722,94,1,5.0,1985,British
3479,1,35.0,18.0,18.0,2008.0,2008-11-02,Brazilian Grand Prix,4,4.0,5,5,5.0,4,71.0,1.0,Finished,31,4,5690342,01:14.2,209.177,98,1,5.0,1985,British
3550,1,36.0,1.0,1.0,2007.0,2007-03-18,Australian Grand Prix,4,4.0,3,3,3.0,6,58.0,1.0,Finished,20,3,5147365,01:26.4,221.083,6,3,0.0,1985,British
3575,1,37.0,2.0,2.0,2007.0,2007-04-08,Malaysian Grand Prix,4,4.0,2,2,2.0,8,56.0,1.0,Finished,22,1,5552487,01:36.7,206.355,14,3,0.0,1985,British
3631,1,38.0,3.0,3.0,2007.0,2007-04-15,Bahrain Grand Prix,2,2.0,2,2,2.0,8,57.0,1.0,Finished,18,2,5609875,01:34.3,206.674,22,3,0.0,1985,British
3688,1,39.0,4.0,4.0,2007.0,2007-05-13,Spanish Grand Prix,4,4.0,2,2,2.0,8,65.0,1.0,Finished,20,2,5503020,01:22.9,202.205,30,1,0.0,1985,British
3700,1,42.0,7.0,19.0,2007.0,2007-06-17,United States Grand Prix,1,1.0,1,1,1.0,10,73.0,1.0,Finished,20,2,5469965,01:13.2,206.101,58,1,2.0,1985,British
3753,1,43.0,8.0,8.0,2007.0,2007-07-01,French Grand Prix,2,2.0,3,3,3.0,6,70.0,1.0,Finished,39,4,5486353,01:16.6,207.34,64,1,2.0,1985,British
3777,1,44.0,9.0,9.0,2007.0,2007-07-08,British Grand Prix,1,1.0,3,3,3.0,6,59.0,1.0,Finished,11,4,4942447,01:21.7,226.6,70,1,2.0,1985,British
3803,1,45.0,10.0,20.0,2007.0,2007-07-22,European Grand Prix,10,10.0,9,9,9.0,0,59.0,11.0,+1 Lap,29,3,,01:33.4,198.421,70,1,2.0,1985,British
3847,1,47.0,12.0,5.0,2007.0,2007-08-26,Turkish Grand Prix,2,2.0,5,5,5.0,4,58.0,1.0,Finished,17,3,5247246,01:28.0,218.464,84,1,3.0,1985,British
3900,1,48.0,13.0,14.0,2007.0,2007-09-09,Italian Grand Prix,2,2.0,2,2,2.0,8,53.0,1.0,Finished,17,2,4723868,01:22.9,251.456,92,1,3.0,1985,British
3953,1,50.0,15.0,16.0,2007.0,2007-09-30,Japanese Grand Prix,1,1.0,1,1,1.0,10,67.0,1.0,Finished,27,1,7234579,01:28.2,186.259,107,1,4.0,1985,British
3991,1,841.0,1.0,1.0,2011.0,2011-03-27,Australian Grand Prix,2,2.0,2,2,2.0,18,58.0,1.0,Finished,41,8,5392556,01:30.3,211.382,18,2,0.0,1985,British
4049,1,842.0,2.0,2.0,2011.0,2011-04-10,Malaysian Grand Prix,2,2.0,8,8,8.0,4,56.0,1.0,Finished,54,5,5929789,01:41.5,196.575,22,3,0.0,1985,British
4105,1,843.0,3.0,17.0,2011.0,2011-04-17,Chinese Grand Prix,3,3.0,1,1,1.0,25,56.0,1.0,Finished,48,2,5818226,01:40.4,195.424,47,2,1.0,1985,British
4161,1,844.0,4.0,5.0,2011.0,2011-05-08,Turkish Grand Prix,4,4.0,4,4,4.0,12,58.0,1.0,Finished,48,4,5457790,01:30.1,213.264,59,2,1.0,1985,British
4226,1,926.0,1.0,1.0,2015.0,2015-03-15,Australian Grand Prix,1,1.0,1,1,1.0,25,58.0,1.0,Finished,50,1,5514067,01:30.9,209.915,25,1,1.0,1985,British
4284,1,927.0,2.0,2.0,2015.0,2015-03-29,Malaysian Grand Prix,1,1.0,2,2,2.0,18,56.0,1.0,Finished,45,2,6074362,01:43.1,193.501,43,1,1.0,1985,British
4340,1,928.0,3.0,17.0,2015.0,2015-04-12,Chinese Grand Prix,1,1.0,1,1,1.0,25,56.0,1.0,Finished,31,1,5982008,01:42.2,191.996,68,1,2.0,1985,British
4396,1,929.0,4.0,3.0,2015.0,2015-04-19,Bahrain Grand Prix,1,1.0,1,1,1.0,25,57.0,1.0,Finished,38,5,5705809,01:37.9,199.098,93,1,3.0,1985,British
4453,1,930.0,5.0,4.0,2015.0,2015-05-10,Spanish Grand Prix,2,2.0,2,2,2.0,18,66.0,1.0,Finished,54,1,6090106,01:28.3,189.849,111,1,3.0,1985,British
4519,1,931.0,6.0,6.0,2015.0,2015-05-24,Monaco Grand Prix,1,1.0,3,3,3.0,15,78.0,1.0,Finished,42,3,6564473,01:18.7,152.692,126,1,3.0,1985,British
4600,1,845.0,5.0,4.0,2011.0,2011-05-22,Spanish Grand Prix,3,3.0,2,2,2.0,18,66.0,1.0,Finished,52,1,5943931,01:26.7,193.227,77,2,1.0,1985,British
4666,1,846.0,6.0,6.0,2011.0,2011-05-29,Monaco Grand Prix,7,9.0,6,6,6.0,8,78.0,1.0,Finished,54,5,7805583,01:17.8,154.456,85,2,1.0,1985,British
4744,1,847.0,7.0,7.0,2011.0,2011-06-12,Canadian Grand Prix,5,5.0,,R,24.0,0,7.0,4.0,Accident,7,23,,01:37.8,160.591,85,4,1.0,1985,British
4751,1,848.0,8.0,12.0,2011.0,2011-06-26,European Grand Prix,3,3.0,4,4,4.0,12,57.0,1.0,Finished,47,6,6022359,01:42.9,189.499,97,4,1.0,1985,British
4808,1,849.0,9.0,9.0,2011.0,2011-07-10,British Grand Prix,10,10.0,4,4,4.0,12,52.0,1.0,Finished,39,5,5350182,01:36.2,220.499,109,4,1.0,1985,British
4860,1,850.0,10.0,20.0,2011.0,2011-07-24,German Grand Prix,2,2.0,1,1,1.0,25,60.0,1.0,Finished,59,1,5850334,01:34.3,196.526,134,3,2.0,1985,British
4861,1,11.0,11.0,12.0,2009.0,2009-08-23,European Grand Prix,1,1.0,2,2,2.0,8,57.0,1.0,Finished,57,4,5753647,01:39.1,196.943,27,6,1.0,1985,British
4942,1,15.0,15.0,22.0,2009.0,2009-10-04,Japanese Grand Prix,3,3.0,3,3,3.0,6,53.0,1.0,Finished,13,6,5306915,01:33.3,224.162,43,6,2.0,1985,British
5013,1,16.0,16.0,18.0,2009.0,2009-10-18,Brazilian Grand Prix,18,17.0,3,3,3.0,6,71.0,1.0,Finished,59,6,5562025,01:14.3,208.654,49,5,2.0,1985,British
5097,1,851.0,11.0,11.0,2011.0,2011-07-31,Hungarian Grand Prix,2,2.0,4,4,4.0,12,70.0,1.0,Finished,61,2,6450675,01:23.7,188.517,146,3,2.0,1985,British
5112,1,18.0,1.0,1.0,2008.0,2008-03-16,Australian Grand Prix,1,1.0,1,1,1.0,10,58.0,1.0,Finished,39,2,5690616,01:27.5,218.3,10,1,1.0,1985,British
5306,1,40.0,5.0,6.0,2007.0,2007-05-27,Monaco Grand Prix,2,2.0,2,2,2.0,8,78.0,1.0,Finished,28,2,6033424,01:15.4,159.528,38,2,0.0,1985,British
5364,1,852.0,12.0,13.0,2011.0,2011-08-28,Belgian Grand Prix,2,2.0,,R,22.0,0,12.0,4.0,Accident,8,18,,01:55.6,218.029,146,5,2.0,1985,British
5410,1,41.0,6.0,7.0,2007.0,2007-06-10,Canadian Grand Prix,1,1.0,1,1,1.0,10,70.0,1.0,Finished,37,2,6251292,01:16.5,205.239,48,1,1.0,1985,British
5411,1,853.0,13.0,14.0,2011.0,2011-09-11,Italian Grand Prix,2,2.0,4,4,4.0,12,53.0,1.0,Finished,52,1,4863589,01:26.2,241.971,158,5,2.0,1985,British
5634,1,854.0,14.0,15.0,2011.0,2011-09-25,Singapore Grand Prix,4,4.0,5,5,5.0,10,61.0,1.0,Finished,54,4,7214523,01:50.8,164.779,168,5,2.0,1985,British
5654,1,46.0,11.0,11.0,2007.0,2007-08-05,Hungarian Grand Prix,2,1.0,1,1,1.0,10,70.0,1.0,Finished,13,2,5752991,01:20.2,196.724,80,1,3.0,1985,British
5758,1,49.0,14.0,13.0,2007.0,2007-09-16,Belgian Grand Prix,4,4.0,4,4,4.0,5,44.0,1.0,Finished,41,4,4862681,01:48.2,233.002,97,1,3.0,1985,British
5850,1,51.0,16.0,17.0,2007.0,2007-10-07,Chinese Grand Prix,1,1.0,,R,19.0,0,30.0,20.0,Accident,22,19,,01:43.1,190.278,107,1,4.0,1985,British
5886,1,855.0,15.0,22.0,2011.0,2011-10-09,Japanese Grand Prix,3,3.0,5,5,5.0,10,53.0,1.0,Finished,49,9,5477695,01:37.6,214.093,178,5,2.0,1985,British
5887,1,52.0,17.0,18.0,2007.0,2007-10-21,Brazilian Grand Prix,2,2.0,7,7,7.0,2,70.0,11.0,+1 Lap,58,2,,01:12.5,213.946,109,2,4.0,1985,British
5968,1,338.0,2.0,1.0,2010.0,2010-03-28,Australian Grand Prix,11,11.0,6,6,6.0,8,58.0,1.0,Finished,47,3,5646429,01:28.5,215.7,23,4,0.0,1985,British
6026,1,339.0,3.0,2.0,2010.0,2010-04-04,Malaysian Grand Prix,20,20.0,6,6,6.0,8,56.0,1.0,Finished,32,4,5651883,01:37.7,204.151,31,6,0.0,1985,British
6082,1,340.0,4.0,17.0,2010.0,2010-04-18,Chinese Grand Prix,6,6.0,2,2,2.0,18,56.0,1.0,Finished,13,1,6403693,01:42.1,192.273,49,4,0.0,1985,British
6138,1,341.0,5.0,4.0,2010.0,2010-05-09,Spanish Grand Prix,3,3.0,14,14,14.0,0,64.0,29.0,Mechanical,59,1,,01:24.4,198.655,49,6,0.0,1985,British
6202,1,342.0,6.0,6.0,2010.0,2010-05-16,Monaco Grand Prix,5,5.0,5,5,5.0,10,78.0,1.0,Finished,68,10,6617718,01:16.2,157.755,59,7,0.0,1985,British
6280,1,343.0,7.0,5.0,2010.0,2010-05-30,Turkish Grand Prix,2,2.0,1,1,1.0,25,58.0,1.0,Finished,54,12,5327620,01:30.1,213.342,84,3,1.0,1985,British
6338,1,344.0,8.0,7.0,2010.0,2010-06-13,Canadian Grand Prix,1,1.0,1,1,1.0,25,70.0,1.0,Finished,62,2,5633456,01:17.8,201.778,109,1,2.0,1985,British
6433,1,932.0,7.0,7.0,2015.0,2015-06-07,Canadian Grand Prix,1,1.0,1,1,1.0,25,70.0,1.0,Finished,64,3,5513145,01:17.5,202.648,151,1,4.0,1985,British
6503,1,933.0,8.0,70.0,2015.0,2015-06-21,Austrian Grand Prix,1,1.0,2,2,2.0,18,71.0,1.0,Finished,60,2,5425730,01:11.5,217.888,169,1,4.0,1985,British
6529,1,937.0,11.0,13.0,2015.0,2015-08-23,Belgian Grand Prix,1,1.0,1,1,1.0,25,43.0,1.0,Finished,34,2,5020387,01:52.5,224.12,227,1,6.0,1985,British
6572,1,938.0,12.0,14.0,2015.0,2015-09-06,Italian Grand Prix,1,1.0,1,1,1.0,25,53.0,1.0,Finished,48,1,4680688,01:26.7,240.617,252,1,7.0,1985,British
6611,1,950.0,3.0,17.0,2016.0,2016-04-17,Chinese Grand Prix,22,22.0,7,7,7.0,6,56.0,1.0,Finished,32,10,6012121,01:40.7,194.945,39,2,0.0,1985,British
6647,1,951.0,4.0,71.0,2016.0,2016-05-01,Russian Grand Prix,10,10.0,2,2,2.0,18,53.0,1.0,Finished,36,4,5587019,01:40.3,209.969,57,2,0.0,1985,British
6689,1,953.0,6.0,6.0,2016.0,2016-05-29,Monaco Grand Prix,3,3.0,1,1,1.0,25,78.0,1.0,Finished,71,1,7169133,01:17.9,154.135,82,2,1.0,1985,British
6709,1,954.0,7.0,7.0,2016.0,2016-06-12,Canadian Grand Prix,1,1.0,1,1,1.0,25,70.0,1.0,Finished,68,2,5465296,01:16.0,206.625,107,2,2.0,1985,British
6752,1,955.0,8.0,73.0,2016.0,2016-06-19,European Grand Prix,10,10.0,5,5,5.0,10,51.0,1.0,Finished,42,2,5628701,01:46.8,202.306,117,2,2.0,1985,British
6797,1,345.0,9.0,12.0,2010.0,2010-06-27,European Grand Prix,3,3.0,2,2,2.0,18,57.0,1.0,Finished,56,4,6034613,01:39.2,196.744,127,1,2.0,1985,British
6854,1,346.0,10.0,9.0,2010.0,2010-07-11,British Grand Prix,4,4.0,2,2,2.0,18,52.0,1.0,Finished,43,6,5079560,01:32.8,228.633,145,1,2.0,1985,British
6906,1,348.0,12.0,11.0,2010.0,2010-08-01,Hungarian Grand Prix,5,5.0,,R,20.0,0,23.0,6.0,Mechanical,22,14,,01:26.3,182.842,157,2,2.0,1985,British
6929,1,349.0,13.0,13.0,2010.0,2010-08-29,Belgian Grand Prix,2,2.0,1,1,1.0,25,44.0,1.0,Finished,32,1,5344268,01:49.1,231.178,182,1,3.0,1985,British
6973,1,351.0,15.0,15.0,2010.0,2010-09-26,Singapore Grand Prix,3,3.0,,R,19.0,0,35.0,4.0,Accident,31,10,,01:50.7,164.901,182,3,3.0,1985,British
7008,1,352.0,16.0,22.0,2010.0,2010-10-10,Japanese Grand Prix,3,8.0,5,5,5.0,10,53.0,1.0,Finished,35,9,5466918,01:35.2,219.633,192,4,3.0,1985,British
7061,1,353.0,17.0,35.0,2010.0,2010-10-24,Korean Grand Prix,4,4.0,2,2,2.0,18,55.0,1.0,Finished,42,3,10115809,01:50.4,183.048,210,3,3.0,1985,British
7117,1,354.0,18.0,18.0,2010.0,2010-11-07,Brazilian Grand Prix,4,4.0,4,4,4.0,12,71.0,1.0,Finished,66,1,5606437,01:13.9,210.049,222,4,3.0,1985,British
7227,1,867.0,8.0,12.0,2012.0,2012-06-24,European Grand Prix,2,2.0,19,19,19.0,0,55.0,4.0,Accident,43,9,,01:44.0,187.568,88,3,1.0,1985,British
7262,1,868.0,9.0,9.0,2012.0,2012-07-08,British Grand Prix,8,8.0,8,8,8.0,4,52.0,1.0,Finished,44,15,5147751,01:36.2,220.515,92,4,1.0,1985,British
7313,1,856.0,16.0,35.0,2011.0,2011-10-16,Korean Grand Prix,1,1.0,2,2,2.0,18,55.0,1.0,Finished,54,3,5894013,01:40.5,201.216,196,5,2.0,1985,British
7329,1,870.0,11.0,11.0,2012.0,2012-07-29,Hungarian Grand Prix,1,1.0,1,1,1.0,25,69.0,1.0,Finished,65,4,6065503,01:25.7,184.082,117,4,2.0,1985,British
7422,1,872.0,13.0,14.0,2012.0,2012-09-09,Italian Grand Prix,1,1.0,1,1,1.0,25,53.0,1.0,Finished,52,5,4781221,01:28.4,235.841,142,2,3.0,1985,British
