driverId,year,dstnd_points,results_laps,wins,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19,res_20,res_21,res_22,res_23,res_24,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,grid_16,grid_17,grid_18,grid_19,grid_20,grid_21,grid_22,grid_23,grid_24,races
2,2009.0,19.0,893.0,0.0,0,1,0,0,2,1,2,0,0,2,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2,2010.0,6.0,269.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011.0,34.0,499.0,0.0,0,0,1,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2006.0,4.0,662.0,0.0,0,0,0,0,0,0,2,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2007.0,20.0,965.0,0.0,0,0,0,1,0,3,3,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2008.0,17.0,1068.0,0.0,0,1,1,0,0,0,0,3,1,2,1,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0
3,2009.0,34.5,941.0,0.0,0,0,0,2,4,2,0,3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2010.0,142.0,1029.0,0.0,0,0,3,1,5,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2011.0,89.0,1036.0,0.0,0,0,0,0,2,4,5,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2012.0,93.0,1036.0,1.0,1,1,0,0,2,2,2,0,0,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2013.0,171.0,1058.0,2.0,2,1,1,3,2,2,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014.0,317.0,1062.0,5.0,5,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015.0,322.0,1100.0,6.0,6,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
