,driverId,raceId,lap,pit_ms
252,1,845,11,19761
253,808,845,11,21856
254,3,845,11,20647
255,13,845,11,20800
256,153,845,11,20741
257,22,845,11,29936
258,16,845,13,20773
259,18,845,14,20015
260,39,845,14,24843
261,814,845,15,20070
262,15,845,15,22364
263,5,845,16,21019
264,24,845,16,23157
265,10,845,16,22744
266,816,845,17,23176
267,20,845,18,19887
268,4,845,19,20238
269,17,845,19,20079
270,813,845,20,24821
271,13,845,21,21635
272,2,845,21,21322
273,1,845,23,20235
274,22,845,23,21226
275,153,845,24,20872
276,67,845,25,24745
277,155,845,25,21128
278,30,845,26,20487
279,808,845,26,24232
280,3,845,27,19534
281,4,845,29,20738
282,17,845,29,20279
283,5,845,28,20807
284,815,845,29,21143
285,15,845,29,21723
286,39,845,28,24448
287,18,845,30,20763
288,16,845,30,20267
289,814,845,32,20126
290,20,845,34,20426
291,1,845,35,20473
292,816,845,34,22982
293,22,845,35,20650
294,13,845,36,22419
295,813,845,36,21574
296,2,845,36,21953
297,153,845,36,21019
298,4,845,39,20380
299,10,845,38,21632
300,30,845,41,20451
301,808,845,41,21739
302,5,845,41,23068
303,3,845,42,20395
304,67,845,42,20819
305,15,845,43,23001
306,155,845,44,20500
307,17,845,47,19984
308,20,845,48,20292
309,815,845,47,21829
310,18,845,48,20107
311,1,845,49,20988
312,16,845,48,23230
313,39,845,47,24298
314,2,845,50,20796
315,153,845,50,23143
316,816,845,49,21708
317,814,845,51,20573
318,813,845,53,22077
319,10,845,53,21170
320,22,845,54,20637
321,30,846,12,35084
322,18,846,15,25280
323,3,846,15,25189
324,20,846,16,28536
325,17,846,16,37735
326,4,846,17,25352
327,5,846,19,26477
328,814,846,20,24970
329,1,846,22,31445
330,10,846,22,26827
331,15,846,24,25595
332,813,846,25,26468
333,13,846,26,26615
334,39,846,25,28325
335,814,846,27,19360
336,808,846,28,28856
337,153,846,29,25907
338,22,846,32,25921
339,18,846,33,26421
340,814,846,32,47226
341,2,846,33,25851
342,67,846,33,26073
343,4,846,34,31382
344,3,846,33,25310
345,24,846,32,28298
346,816,846,33,27577
347,155,846,34,28642
348,16,846,34,25037
349,39,846,33,39917
350,1,846,43,19347
351,15,846,46,26065
352,18,846,48,24670
353,1,846,49,26977
354,5,846,52,25878
355,3,846,53,25116
356,813,846,54,25687
357,17,846,55,26269
358,153,846,56,27550
359,67,846,62,25045
360,816,846,63,26464
361,16,846,68,27879
362,22,846,68,25675
363,2,846,69,26281
364,18,847,8,23650
365,24,847,9,27202
366,18,847,13,14501
367,22,847,15,23305
368,16,847,16,24052
369,4,847,17,23893
370,3,847,17,23105
371,813,847,17,23571
372,67,847,17,23949
373,816,847,17,24143
