driverId,raceId,constructorId,fastestLap,rank,fastestLapTime,fastestLapSpeed
7,27,5,63,10,116969,213.935
14,27,9,18,11,116994,213.866
6,27,3,23,17,117691,211.947
16,27,10,66,18,117889,211.408
21,27,10,67,20,118208,210.546
18,27,11,56,16,117636,212.097
22,27,11,30,19,117986,211.145
17,27,9,20,14,117206,213.278
10,27,7,24,7,116712,214.652
5,28,1,19,7,121753,192.917
10,28,7,42,6,121671,193.111
8,28,6,61,1,121195,194.243
4,28,4,47,8,121793,192.823
1,28,1,15,3,121493,193.533
12,28,4,64,4,121537,193.428
15,28,7,65,5,121638,193.189
9,28,2,70,9,121941,192.475
17,28,9,67,10,122125,192.043
2,28,2,67,11,122183,191.908
14,28,9,67,16,122732,190.634
18,28,11,63,13,122397,191.409
6,28,3,67,18,123307,189.319
3,28,3,57,12,122397,191.409
21,28,10,68,15,122641,190.844
22,28,11,65,14,122436,191.319
13,28,6,16,2,121355,193.861
7,28,5,29,17,123220,189.516
16,28,10,29,19,123650,188.542
20,28,5,17,20,124222,187.262
13,29,6,36,1,138708,197.637
1,29,1,16,2,138884,197.285
9,29,2,38,4,139330,196.399
5,29,1,19,3,139112,196.831
15,29,7,37,12,139657,195.755
20,29,5,36,6,139485,196.093
10,29,7,54,8,139535,195.995
3,29,3,35,10,139577,195.912
2,29,2,57,7,139526,196.013
7,29,5,35,11,139639,195.79
12,29,4,29,9,139544,195.977
17,29,9,27,14,140264,194.57
18,29,11,21,18,140763,193.606
21,29,10,54,15,140353,194.397
6,29,3,56,13,139803,195.469
22,29,11,56,16,140593,193.933
14,29,9,13,19,140978,193.194
8,29,6,34,5,139424,196.214
16,29,10,28,17,140661,193.802
13,30,6,26,3,148222,232.987
2,30,2,36,7,149067,231.182
1,30,1,20,2,148135,233.175
4,30,4,25,9,149238,230.82
20,30,5,16,8,149086,231.142
9,30,2,36,5,148965,231.399
7,30,5,31,6,149002,231.32
17,30,9,34,10,149515,230.236
10,30,7,37,12,150255,228.691
5,30,1,35,4,148223,232.985
14,30,9,19,11,150177,228.853
3,30,3,32,15,150656,227.862
16,30,10,27,13,150487,228.211
6,30,3,35,17,150970,227.218
18,30,11,19,16,150671,227.832
15,30,7,32,14,150543,228.095
21,30,10,17,19,151701,225.731
8,30,6,24,1,147930,233.618
22,30,11,10,20,152072,224.983
12,30,4,12,18,151118,226.915
20,31,5,53,14,130510,230.414
5,31,1,53,13,130300,230.95
9,31,2,52,12,130298,230.955
4,31,4,51,9,129961,231.82
2,31,2,53,6,129807,232.217
13,31,6,52,4,129696,232.505
1,31,1,52,5,129721,232.44
17,31,9,52,3,129681,232.544
8,31,6,53,1,128047,236.859
12,31,4,53,16,130918,229.38
10,31,7,53,8,129948,231.853
6,31,3,53,11,130215,231.167
15,31,7,52,15,130853,229.544
3,31,3,53,10,130019,231.671
18,31,11,52,7,129827,232.166
14,31,9,49,17,132459,225.557
22,31,11,42,19,133918,222.053
7,31,5,52,2,129258,233.646
16,31,10,51,18,133458,223.146
21,31,10,6,20,137304,214.326
4,32,4,55,3,145768,172.464
3,32,3,39,5,146454,171.352
1,32,1,14,4,146072,171.969
10,32,7,50,8,147044,170.408
20,32,5,13,9,147271,170.047
2,32,2,14,11,147306,169.992
14,32,9,41,13,147562,169.587
6,32,3,13,10,147287,170.022
18,32,11,61,15,148128,168.7
5,32,1,14,12,147337,169.943
9,32,2,14,6,146899,170.639
7,32,5,29,14,147820,169.181
13,32,6,13,2,145757,172.482
21,32,10,28,16,149101,167.195
8,32,6,14,1,145599,172.74
15,32,7,32,7,146972,170.523
16,32,10,38,18,149270,166.936
17,32,9,13,17,149183,167.069
22,32,11,13,19,150320,165.348
12,32,4,13,20,150449,165.154
4,33,4,41,3,119101,207.668
9,33,2,16,7,119292,207.168
8,33,6,66,2,118995,207.947
12,33,4,54,4,119199,207.411
15,33,7,18,9,119524,206.564
20,33,5,21,12,119617,206.322
13,33,6,55,1,118426,209.456
17,33,9,30,13,119820,205.798
2,33,2,67,8,119461,206.727
7,33,5,49,6,119262,207.246
3,33,3,66,10,119531,206.545
1,33,1,65,11,119560,206.47
22,33,11,66,16,120575,203.869
18,33,11,66,17,120849,203.178
6,33,3,32,15,120364,204.404
21,33,10,20,19,121577,201.365
5,33,1,12,5,119258,207.257
16,33,10,6,18,121189,202.327
10,33,7,4,14,120254,204.685
1,34,1,13,1,136325,203.722
13,34,6,36,4,136591,203.161
8,34,6,14,2,136483,203.389
4,34,4,56,5,136659,203.018
2,34,2,56,3,136498,203.357
9,34,2,56,7,136854,202.61
10,34,7,56,6,136727,202.876
12,34,4,56,8,136996,202.313
20,34,5,55,9,137212,201.863
14,34,9,27,14,137753,200.746
22,34,11,56,16,137845,200.558
6,34,3,54,17,138019,200.202
7,34,5,36,12,137452,201.366
17,34,9,10,13,137680,200.896
3,34,3,38,10,137246,201.793
18,34,11,54,15,137773,200.705
21,34,10,54,18,138372,199.483
5,34,1,32,11,137302,201.677
16,34,10,13,19,139683,196.86
15,34,7,2,20,239612,122.945
13,35,6,36,1,113736,210.377
4,35,4,39,8,114229,208.98
8,35,6,59,3,114117,209.296
20,35,5,25,7,114214,209.022
1,35,1,31,4,114159,209.177
10,35,7,32,2,114057,209.465
5,35,1,36,6,114207,209.042
15,35,7,40,5,114167,209.155
17,35,9,40,14,115033,206.741
2,35,2,41,10,114652,207.796
9,35,2,61,9,114375,208.57
3,35,3,35,12,114934,207.014
18,35,11,59,11,114759,207.498
7,35,5,57,13,114951,206.967
22,35,11,35,16,115414,205.696
16,35,10,60,17,115773,204.721
6,35,3,50,18,115865,204.473
21,35,10,36,15,115212,206.249
8,36,6,41,1,125235,223.978
4,36,1,20,2,126314,221.178
1,36,1,20,3,126351,221.083
2,36,2,37,6,126722,220.137
21,36,4,18,7,126892,219.707
13,36,6,28,8,127044,219.323
3,36,3,40,5,126721,220.14
23,36,7,42,12,127796,217.444
15,36,7,45,13,128034,216.857
5,36,4,44,10,127592,217.951
22,36,11,17,14,128098,216.699
11,36,8,20,18,128487,215.746
17,36,9,21,9,127501,218.178
24,36,5,44,15,128282,216.247
18,36,11,42,17,128387,215.991
19,36,8,41,19,128489,215.742
16,36,12,40,20,128687,215.26
25,36,3,24,16,128303,216.196
14,36,9,44,11,127706,217.668
9,36,2,19,4,126642,220.341
26,36,5,22,21,128953,214.616
27,36,12,9,22,130899,210.022
4,37,1,42,2,136861,206.014
1,37,1,22,1,136701,206.355
8,37,6,40,4,137228,205.237
2,37,2,55,5,137417,204.838
13,37,6,42,3,137199,205.298
21,37,4,44,9,137879,203.872
15,37,7,40,10,138016,203.587
5,37,4,41,7,137810,204.015
25,37,3,19,8,137864,203.903
17,37,9,55,14,138540,202.504
22,37,11,32,15,138566,202.451
18,37,11,54,16,138658,202.262
11,37,8,37,13,138496,202.595
26,37,5,54,18,139098,201.364
23,37,7,52,19,139243,201.07
19,37,8,32,20,139566,200.417
24,37,5,21,12,138447,202.695
9,37,2,53,17,138874,201.82
3,37,3,18,6,137704,204.237
14,37,9,28,11,138098,203.416
27,37,12,5,21,141495,196.608
13,38,6,42,1,134067,207.12
1,38,1,18,2,134270,206.674
8,38,6,39,3,134357,206.483
2,38,2,38,5,134470,206.236
4,38,1,46,4,134420,206.346
9,38,2,46,6,134819,205.477
15,38,7,40,7,135153,204.756
21,38,4,51,8,135200,204.655
5,38,4,27,10,135475,204.065
3,38,3,51,11,135556,203.893
25,38,3,27,16,135992,202.966
23,38,7,37,15,135845,203.278
22,38,11,50,14,135842,203.284
27,38,12,40,20,137184,200.477
16,38,12,45,19,136772,201.33
19,38,8,27,17,136111,202.715
17,38,9,37,12,135705,203.575
14,38,9,34,9,135384,204.26
11,38,8,23,18,136359,202.193
24,38,5,23,13,135723,203.537
13,39,6,14,1,122680,202.685
1,39,1,20,2,122876,202.205
4,39,1,17,3,122966,201.986
9,39,2,20,5,123129,201.59
14,39,9,18,8,123524,200.636
3,39,3,60,10,123693,200.231
