"driverId","raceId","grid","results_position","positionText","positionOrder","results_points","results_laps","fastestLap","rank","race_ms","results_fastestlaptime","fastestLapSpeed","statusId","status"
18,166,10,"8","8",8,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
21,166,14,"9","9",9,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
63,166,12,"10","10",10,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
64,166,15,"11","11",11,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
2,166,16,"12","12",12,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
13,22,1,"1","1",1,"10",58,"16","3","5209451","01:26.7","221.734",1,"Finished"
56,166,6,"13","13",13,"0",70,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
55,166,18,"14","14",14,"0",70,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
48,166,21,"15","15",15,"0",70,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
35,167,7,"4","4",4,"3",70,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
18,167,18,"5","5",5,"2",70,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
63,167,9,"6","6",6,"1",70,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
65,167,16,"7","7",7,"0",70,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
48,167,20,"8","8",8,"0",70,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
64,167,11,"9","9",9,"0",70,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
41,170,13,"12","12",12,"0",43,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
1,22,3,"2","2",2,"8",58,"31","2","5213230","01:26.5","222.085",1,"Finished"
8,22,4,"3","3",3,"6",58,"20","1","5213722","01:26.5","222.144",1,"Finished"
9,22,5,"4","4",4,"5",58,"17","4","5231396","01:26.8","221.442",1,"Finished"
