driverId,raceId,position,q1,q2,q3
20,24,20,\N,\N,\N
8,25,1,01:15.1,01:15.2,01:16.4
13,25,2,01:15.0,01:15.0,01:16.5
1,25,3,01:15.6,01:15.3,01:16.7
4,25,4,01:15.8,01:15.5,01:16.8
15,25,5,01:15.5,01:15.4,01:16.9
5,25,6,01:16.0,01:15.6,01:16.9
9,25,7,01:15.7,01:15.7,01:17.0
17,25,8,01:16.0,01:15.5,01:17.2
14,25,9,01:15.8,01:15.7,01:17.4
10,25,10,01:15.7,01:15.6,01:17.6
12,25,11,01:15.8,01:15.8,\N
2,25,12,01:16.0,01:15.8,\N
20,25,13,01:15.9,01:15.8,\N
7,25,14,01:16.1,01:16.0,\N
3,25,15,01:16.1,01:16.2,\N
6,25,16,01:16.2,\N,\N
18,25,17,01:16.3,\N,\N
22,25,18,01:16.3,\N,\N
21,25,19,01:17.0,\N,\N
16,25,20,01:17.1,\N,\N
5,26,1,01:20.0,01:19.6,01:21.0
17,26,2,01:21.0,01:19.7,01:21.6
8,26,3,01:20.4,01:20.0,01:21.7
1,26,4,01:20.3,01:19.5,01:21.8
2,26,5,01:21.0,01:19.8,01:21.9
4,26,6,01:21.0,01:20.0,01:22.0
12,26,7,01:20.8,01:20.1,01:22.5
20,26,8,01:20.3,01:20.1,01:23.3
13,26,9,01:20.7,01:20.1,01:23.3
9,26,10,01:20.4,01:19.8,\N
14,26,11,01:21.2,01:20.2,\N
10,26,12,01:20.9,01:20.3,\N
7,26,13,01:20.6,01:20.5,\N
15,26,14,01:21.1,01:20.6,\N
6,26,15,01:21.4,01:21.1,\N
22,26,16,01:21.5,\N,\N
18,26,17,01:21.6,\N,\N
3,26,18,01:21.7,\N,\N
16,26,19,01:21.8,\N,\N
21,26,20,01:21.9,\N,\N
1,27,1,01:15.2,01:14.6,01:15.7
13,27,2,01:14.9,01:14.7,01:15.9
5,27,3,01:15.5,01:14.9,01:16.1
15,27,4,01:15.6,01:15.1,01:16.2
4,27,5,01:15.9,01:14.9,01:16.4
8,27,6,01:15.2,01:14.9,01:16.4
9,27,7,01:16.0,01:15.1,01:16.5
17,27,8,01:15.9,01:15.5,01:17.0
20,27,9,01:15.5,01:15.4,01:17.2
14,27,10,01:16.0,01:15.3,01:17.5
10,27,11,01:15.6,01:15.5,\N
2,27,12,01:15.6,01:15.6,\N
3,27,13,01:15.9,01:15.6,\N
18,27,14,01:16.0,01:15.7,\N
7,27,15,01:15.9,01:15.9,\N
6,27,16,01:16.1,\N,\N
12,27,17,01:16.2,\N,\N
22,27,18,01:16.2,\N,\N
16,27,19,01:16.7,\N,\N
21,27,20,01:17.0,\N,\N
1,28,1,01:19.4,01:19.5,01:20.9
5,28,2,01:19.9,01:19.5,01:21.1
13,28,3,01:19.6,01:19.1,01:21.2
9,28,4,01:20.1,01:19.8,01:21.3
10,28,5,01:20.0,01:19.2,01:21.3
8,28,6,01:20.0,01:19.5,01:21.5
4,28,7,01:20.2,01:19.8,01:21.7
17,28,8,01:20.1,01:20.0,01:21.7
15,28,9,01:19.9,01:19.5,01:21.8
12,28,10,01:20.6,01:20.1,01:22.4
20,28,11,01:20.2,01:20.1,\N
18,28,12,01:20.9,01:20.3,\N
14,28,13,01:20.5,01:20.5,\N
7,28,14,01:20.6,01:21.0,\N
3,28,15,01:20.7,\N,\N
2,28,16,01:21.0,\N,\N
6,28,17,01:21.1,\N,\N
22,28,18,01:21.3,\N,\N
21,28,19,01:21.7,\N,\N
16,28,20,01:22.1,\N,\N
13,29,1,01:38.2,01:37.9,01:39.0
1,29,2,01:38.5,01:38.0,01:39.2
9,29,3,01:38.3,01:38.1,01:39.4
8,29,4,01:38.7,01:38.2,01:39.5
5,29,5,01:38.7,01:38.1,01:39.9
20,29,6,01:38.1,01:37.8,01:40.1
15,29,7,01:37.9,01:37.9,01:40.3
2,29,8,01:38.7,01:37.9,01:40.6
3,29,9,01:38.6,01:38.3,01:40.7
7,29,10,01:38.6,01:38.4,01:40.8
6,29,11,01:38.7,01:38.4,\N
4,29,12,01:38.3,01:38.4,\N
10,29,13,01:38.5,01:38.5,\N
17,29,14,01:38.6,01:38.5,\N
12,29,15,01:38.8,01:38.7,\N
18,29,16,01:38.9,\N,\N
14,29,17,01:39.2,\N,\N
21,29,18,01:39.3,\N,\N
22,29,19,01:39.8,\N,\N
16,29,20,01:39.9,\N,\N
1,30,1,01:46.9,01:46.1,01:47.3
13,30,2,01:46.9,01:46.4,01:47.7
5,30,3,01:46.8,01:46.0,01:47.8
8,30,4,01:47.0,01:46.3,01:48.0
2,30,5,01:47.4,01:46.3,01:48.3
4,30,6,01:47.2,01:46.5,01:48.5
17,30,7,01:47.3,01:46.8,01:48.7
9,30,8,01:47.1,01:46.5,01:48.8
7,30,9,01:46.8,01:46.5,01:49.0
20,30,10,01:47.2,01:46.8,01:50.3
15,30,11,01:47.4,01:46.9,\N
12,30,12,01:47.1,01:47.0,\N
10,30,13,01:47.4,01:47.0,\N
14,30,14,01:47.1,01:47.0,\N
3,30,15,01:47.5,01:47.4,\N
22,30,16,01:48.2,\N,\N
18,30,17,01:48.2,\N,\N
16,30,18,01:48.2,\N,\N
6,30,19,01:48.3,\N,\N
21,30,20,01:48.4,\N,\N
20,31,1,01:35.5,01:35.8,01:37.6
5,31,2,01:35.2,01:35.8,01:37.6
17,31,3,01:36.0,01:36.3,01:38.1
7,31,4,01:35.5,01:36.2,01:38.4
3,31,5,01:35.5,01:35.9,01:38.8
13,31,6,01:35.5,01:36.7,01:38.9
15,31,7,01:35.9,01:36.0,01:39.2
4,31,8,01:36.3,01:36.5,01:39.8
10,31,9,01:35.7,01:36.5,01:39.8
2,31,10,01:35.7,01:36.6,01:39.9
9,31,11,01:35.6,01:36.7,\N
21,31,12,01:36.3,01:36.7,\N
14,31,13,01:36.5,01:37.3,\N
8,31,14,01:36.0,01:37.5,\N
1,31,15,01:35.4,01:39.3,\N
22,31,16,01:36.5,\N,\N
12,31,17,01:36.6,\N,\N
6,31,18,01:36.7,\N,\N
18,31,19,01:37.0,\N,\N
16,31,20,01:37.4,\N,\N
13,32,1,01:44.5,01:44.0,01:44.8
1,32,2,01:44.5,01:44.9,01:45.5
8,32,3,01:44.3,01:44.2,01:45.6
9,32,4,01:44.7,01:44.5,01:45.8
5,32,5,01:44.3,01:44.2,01:45.9
2,32,6,01:45.5,01:44.5,01:46.0
20,32,7,01:45.0,01:44.3,01:46.2
10,32,8,01:45.2,01:44.4,01:46.3
3,32,9,01:45.1,01:44.4,01:46.6
6,32,10,01:45.1,01:44.8,01:47.5
15,32,11,01:45.6,01:45.0,\N
18,32,12,01:45.7,01:45.1,\N
17,32,13,01:45.5,01:45.2,\N
14,32,14,01:46.0,01:45.3,\N
4,32,15,01:45.0,\N,\N
12,32,16,01:46.0,\N,\N
7,32,17,01:46.4,\N,\N
22,32,18,01:46.6,\N,\N
16,32,19,01:47.9,\N,\N
21,32,20,\N,\N,\N
1,33,1,01:18.1,01:17.5,01:18.4
8,33,2,01:18.2,01:17.7,01:18.6
5,33,3,01:18.2,01:17.4,01:18.8
4,33,4,01:18.3,01:17.9,01:18.9
13,33,5,01:18.1,01:17.3,01:18.9
9,33,6,01:18.7,01:17.9,01:19.0
15,33,7,01:18.5,01:17.5,01:19.0
10,33,8,01:17.9,01:17.7,01:19.1
20,33,9,01:18.6,01:17.7,01:19.6
7,33,10,01:18.6,01:18.1,01:20.2
14,33,11,01:18.3,01:18.2,\N
12,33,12,01:18.3,01:18.3,\N
17,33,13,01:18.4,01:18.4,\N
6,33,14,01:18.6,01:18.6,\N
3,33,15,01:18.7,01:18.7,\N
2,33,16,01:18.8,\N,\N
22,33,17,01:18.9,\N,\N
18,33,18,01:19.1,\N,\N
16,33,19,01:19.2,\N,\N
21,33,20,01:19.9,\N,\N
1,34,1,01:35.6,01:34.9,01:36.3
8,34,2,01:36.0,01:35.4,01:36.6
13,34,3,01:36.0,01:35.1,01:36.9
4,34,4,01:35.8,01:35.5,01:36.9
5,34,5,01:35.6,01:35.2,01:36.9
17,34,6,01:36.2,01:35.7,01:37.1
2,34,7,01:36.2,01:35.4,01:37.2
20,34,8,01:35.8,01:35.4,01:37.7
15,34,9,01:36.1,01:35.7,01:37.9
7,34,10,01:36.2,01:35.5,01:38.9
12,34,11,01:36.0,01:35.7,\N
9,34,12,01:36.5,01:35.8,\N
10,34,13,01:36.2,01:35.9,\N
22,34,14,01:36.6,01:36.1,\N
3,34,15,01:36.4,01:36.2,\N
14,34,16,01:36.7,\N,\N
6,34,17,01:36.9,\N,\N
18,34,18,01:37.1,\N,\N
16,34,19,01:37.7,\N,\N
21,34,20,01:37.7,\N,\N
13,35,1,01:11.8,01:11.9,01:12.4
15,35,2,01:12.2,01:12.1,01:12.7
8,35,3,01:12.1,01:11.9,01:12.8
1,35,4,01:12.2,01:11.9,01:12.8
5,35,5,01:12.4,01:11.8,01:12.9
4,35,6,01:12.2,01:12.1,01:13.0
20,35,7,01:12.4,01:11.8,01:13.1
2,35,8,01:12.4,01:12.0,01:13.3
7,35,9,01:12.5,01:12.1,01:14.1
10,35,10,01:12.2,01:11.9,01:14.2
12,35,11,01:12.3,01:12.1,\N
17,35,12,01:12.4,01:12.3,\N
9,35,13,01:12.4,01:12.3,\N
14,35,14,01:12.7,01:12.7,\N
22,35,15,01:12.5,01:13.1,\N
6,35,16,01:12.8,\N,\N
18,35,17,01:12.8,\N,\N
3,35,18,01:13.0,\N,\N
21,35,19,01:13.4,\N,\N
16,35,20,01:13.5,\N,\N
8,36,1,01:26.6,01:25.6,01:26.1
4,36,2,01:26.7,01:25.3,01:26.5
2,36,3,01:26.9,01:25.4,01:26.6
1,36,4,01:26.7,01:25.6,01:26.8
9,36,5,01:26.7,01:25.9,01:27.3
21,36,6,01:27.3,01:25.9,01:27.6
17,36,7,01:27.0,01:26.6,01:27.9
15,36,8,01:27.0,01:26.7,01:28.4
23,36,9,01:27.3,01:26.7,01:28.7
11,36,10,01:27.4,01:26.8,01:28.9
19,36,11,01:27.0,01:26.9,\N
3,36,12,01:27.6,01:26.9,\N
5,36,13,01:27.5,01:27.0,\N
18,36,14,01:27.5,01:27.3,\N
25,36,15,01:27.5,01:27.4,\N
13,36,16,01:26.7,\N,\N
22,36,17,01:27.7,\N,\N
26,36,18,01:28.3,\N,\N
14,36,19,01:28.6,\N,\N
24,36,20,01:29.3,\N,\N
16,36,21,01:29.3,\N,\N
27,36,22,01:31.9,\N,\N
13,37,1,01:35.3,01:34.5,01:35.0
4,37,2,01:34.9,01:34.1,01:35.3
8,37,3,01:35.1,01:34.7,01:35.5
1,37,4,01:35.0,01:34.7,01:36.0
2,37,5,01:35.6,01:35.2,01:36.5
3,37,6,01:35.8,01:35.4,01:36.8
9,37,7,01:35.3,01:34.7,01:36.8
15,37,8,01:35.7,01:35.3,01:36.9
23,37,9,01:35.7,01:35.6,01:37.1
17,37,10,01:35.7,01:35.6,01:37.3
5,37,11,01:36.1,01:35.6,\N
21,37,12,01:35.9,01:35.7,\N
14,37,13,01:35.7,01:35.8,\N
11,37,14,01:36.4,01:35.9,\N
18,37,15,01:35.9,01:36.1,\N
24,37,16,01:36.1,01:36.1,\N
26,37,17,01:36.6,\N,\N
19,37,18,01:36.8,\N,\N
22,37,19,01:36.8,\N,\N
25,37,20,01:37.3,\N,\N
27,37,21,01:38.3,\N,\N
16,37,22,01:38.4,\N,\N
13,38,1,01:32.4,01:31.4,01:32.7
1,38,2,01:32.6,01:31.8,01:32.9
8,38,3,01:33.2,01:31.8,01:33.1
4,38,4,01:33.0,01:32.2,01:33.2
2,38,5,01:33.2,01:32.2,01:33.4
9,38,6,01:33.3,01:32.3,01:33.7
21,38,7,01:33.6,01:32.9,01:34.1
17,38,8,01:33.5,01:32.8,01:34.1
15,38,9,01:33.2,01:32.4,01:34.2
3,38,10,01:33.3,01:32.8,01:34.4
25,38,11,01:33.8,01:32.9,\N
5,38,12,01:33.5,01:32.9,\N
19,38,13,01:33.3,01:33.1,\N
23,38,14,01:33.9,01:33.3,\N
22,38,15,01:33.8,01:33.6,\N
18,38,16,01:34.0,01:33.7,\N
11,38,17,01:34.0,\N,\N
